beruf,competency,avg_share_2022_2025_pct,kind,growth_pp
SystemanalytikerIn,Wissenschaftliches Fachwissen Technik und Formalwissenschaften,11.4,top,
SystemanalytikerIn,Betriebssystem-Kenntnisse,9.6,top,
SystemanalytikerIn,Programmiersprachen-Kenntnisse,8.7,top,
SystemanalytikerIn,Projektmanagement-Kenntnisse,8.7,top,
SystemanalytikerIn,EDV-Anwendungskenntnisse,7.1,top,
SystemanalytikerIn,Internet-Entwicklungs- und Administrationskenntnisse,5.3,top,
SystemanalytikerIn,Netzwerktechnik-Kenntnisse,5.3,top,
SystemanalytikerIn,Qualitätsmanagement-Kenntnisse,4.5,top,
SystemanalytikerIn,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,4.2,top,
SystemanalytikerIn,Projektmanagement-Kenntnisse,,growing,1.9
SystemanalytikerIn,Kommunikationsstärke,,growing,1.8
SystemanalytikerIn,Branchenspezifische Produkt- und Materialkenntnisse,,growing,1.7
SystemanalytikerIn,Betriebswirtschaftskenntnisse,,growing,1.6
SystemanalytikerIn,Branchenkenntnisse,,growing,1.3
SystemanalytikerIn,Teammanagement,,growing,0.7
SystemanalytikerIn,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,,growing,0.5
SystemanalytikerIn,Systematische Arbeitsweise,,growing,0.3
SystemanalytikerIn,Berufserfahrung,,growing,0.2
WirtschaftsinformatikerIn,Softwareentwicklungskenntnisse,11.0,top,
WirtschaftsinformatikerIn,Wissenschaftliches Fachwissen Technik und Formalwissenschaften,9.1,top,
WirtschaftsinformatikerIn,Datenbankentwicklungs- und -betreuungskenntnisse,7.4,top,
WirtschaftsinformatikerIn,Projektmanagement-Kenntnisse,7.4,top,
WirtschaftsinformatikerIn,Qualitätsmanagement-Kenntnisse,6.0,top,
WirtschaftsinformatikerIn,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,5.9,top,
WirtschaftsinformatikerIn,Programmiersprachen-Kenntnisse,5.0,top,
WirtschaftsinformatikerIn,IT-Projektmanagement- und Consulting-Kenntnisse,4.9,top,
WirtschaftsinformatikerIn,EDV-Anwendungskenntnisse,4.7,top,
WirtschaftsinformatikerIn,EDV-Anwendungskenntnisse,,growing,1.5
WirtschaftsinformatikerIn,Büroarbeitskenntnisse,,growing,1.0
WirtschaftsinformatikerIn,Projektmanagement-Kenntnisse,,growing,0.9
WirtschaftsinformatikerIn,Systematische Arbeitsweise,,growing,0.7
WirtschaftsinformatikerIn,Programmiersprachen-Kenntnisse,,growing,0.4
WirtschaftsinformatikerIn,Qualitätsmanagement-Kenntnisse,,growing,0.4
WirtschaftsinformatikerIn,Selbstständige Arbeitsweise,,growing,0.2
WirtschaftsinformatikerIn,Zahlenverständnis,,growing,0.2
WirtschaftsinformatikerIn,Branchenspezifische Produkt- und Materialkenntnisse,,growing,0.2
Game Producer (m/w),"Grafik-, Web-Design- und Bildbearbeitungssoftware-Kenntnisse",15.1,top,
Game Producer (m/w),Multimedia-Kenntnisse,12.9,top,
Game Producer (m/w),Grafik-Kenntnisse,9.0,top,
Game Producer (m/w),Softwareentwicklungskenntnisse,9.0,top,
Game Producer (m/w),Betriebssystem-Kenntnisse,6.2,top,
Game Producer (m/w),Branchenspezifische Produkt- und Materialkenntnisse,5.0,top,
Game Producer (m/w),EDV-Anwendungskenntnisse,4.3,top,
Game Producer (m/w),"Audio-, Video- und Theater-Produktionskenntnisse",3.4,top,
Game Producer (m/w),Projektmanagement-Kenntnisse,2.7,top,
Game Producer (m/w),Branchenspezifische Produkt- und Materialkenntnisse,,growing,4.1
Game Producer (m/w),Softwareentwicklungskenntnisse,,growing,3.0
Game Producer (m/w),Datensicherheitskenntnisse,,growing,2.1
Game Producer (m/w),Branchenkenntnisse,,growing,1.4
Game Producer (m/w),Didaktische Kenntnisse,,growing,1.3
Game Producer (m/w),Betriebssystem-Kenntnisse,,growing,1.1
Game Producer (m/w),Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,,growing,0.6
Game Producer (m/w),Einsatzbereitschaft,,growing,0.4
Game Producer (m/w),Fremdsprachen-Kenntnisse,,growing,0.2
InformatikerIn,Betriebssystem-Kenntnisse,10.8,top,
InformatikerIn,Wissenschaftliches Fachwissen Technik und Formalwissenschaften,8.5,top,
InformatikerIn,Programmiersprachen-Kenntnisse,8.4,top,
InformatikerIn,Management-Kenntnisse,6.5,top,
InformatikerIn,Netzwerktechnik-Kenntnisse,6.2,top,
InformatikerIn,Projektmanagement-Kenntnisse,5.4,top,
InformatikerIn,EDV-Anwendungskenntnisse,5.1,top,
InformatikerIn,Qualitätsmanagement-Kenntnisse,4.2,top,
InformatikerIn,Internet-Entwicklungs- und Administrationskenntnisse,3.8,top,
InformatikerIn,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,,growing,1.4
InformatikerIn,Betriebssystem-Kenntnisse,,growing,1.4
InformatikerIn,Kommunikationsstärke,,growing,1.1
InformatikerIn,EDV-Anwendungskenntnisse,,growing,1.0
InformatikerIn,Branchenspezifische Produkt- und Materialkenntnisse,,growing,0.7
InformatikerIn,EDV-Support und EDV-Schulung,,growing,0.6
InformatikerIn,Internet-Entwicklungs- und Administrationskenntnisse,,growing,0.4
InformatikerIn,Systematische Arbeitsweise,,growing,0.3
InformatikerIn,Konzentrationsfähigkeit,,growing,0.3
SoftwareentwicklerIn,Programmiersprachen-Kenntnisse,18.2,top,
SoftwareentwicklerIn,Betriebssystem-Kenntnisse,10.5,top,
SoftwareentwicklerIn,Wissenschaftliches Fachwissen Technik und Formalwissenschaften,8.4,top,
SoftwareentwicklerIn,Internet-Entwicklungs- und Administrationskenntnisse,5.2,top,
SoftwareentwicklerIn,Datenbankentwicklungs- und -betreuungskenntnisse,4.7,top,
SoftwareentwicklerIn,Netzwerktechnik-Kenntnisse,4.4,top,
SoftwareentwicklerIn,IT-Projektmanagement- und Consulting-Kenntnisse,3.9,top,
SoftwareentwicklerIn,Projektmanagement-Kenntnisse,3.3,top,
SoftwareentwicklerIn,EDV-Anwendungskenntnisse,3.3,top,
SoftwareentwicklerIn,Kommunikationsstärke,,growing,0.9
SoftwareentwicklerIn,EDV-Anwendungskenntnisse,,growing,0.8
SoftwareentwicklerIn,Programmiersprachen-Kenntnisse,,growing,0.7
SoftwareentwicklerIn,Betriebssystem-Kenntnisse,,growing,0.7
SoftwareentwicklerIn,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,,growing,0.2
SoftwareentwicklerIn,Branchenkenntnisse,,growing,0.2
SoftwareentwicklerIn,Problemlösungsfähigkeit,,growing,0.2
SoftwareentwicklerIn,Einsatzbereitschaft,,growing,0.1
SoftwareentwicklerIn,IT-Projektmanagement- und Consulting-Kenntnisse,,growing,0.1
WebmasterIn,Internet-Entwicklungs- und Administrationskenntnisse,10.6,top,
WebmasterIn,Programmiersprachen-Kenntnisse,10.2,top,
WebmasterIn,Marketing- und PR-Kenntnisse,8.7,top,
WebmasterIn,Datenbankentwicklungs- und -betreuungskenntnisse,8.0,top,
WebmasterIn,Betriebssystem-Kenntnisse,7.9,top,
WebmasterIn,Qualitätsmanagement-Kenntnisse,6.2,top,
WebmasterIn,Projektmanagement-Kenntnisse,5.3,top,
WebmasterIn,EDV-Support und EDV-Schulung,5.1,top,
WebmasterIn,Multimedia-Kenntnisse,5.0,top,
WebmasterIn,"Grafik-, Web-Design- und Bildbearbeitungssoftware-Kenntnisse",,growing,2.7
WebmasterIn,Marketing- und PR-Kenntnisse,,growing,2.4
WebmasterIn,Multimedia-Kenntnisse,,growing,2.4
WebmasterIn,Qualitätsmanagement-Kenntnisse,,growing,2.3
WebmasterIn,Internet-Entwicklungs- und Administrationskenntnisse,,growing,2.0
WebmasterIn,EDV-Anwendungskenntnisse,,growing,1.3
WebmasterIn,Kommunikationsstärke,,growing,1.2
WebmasterIn,E-Business-Kenntnisse,,growing,0.9
WebmasterIn,Technisches Verständnis,,growing,0.6
BaumarktverkäuferIn,Branchenspezifische Produkt- und Materialkenntnisse,22.8,top,
BaumarktverkäuferIn,KundInnenbetreuungskenntnisse,9.4,top,
BaumarktverkäuferIn,Logistik-Kenntnisse,6.5,top,
BaumarktverkäuferIn,Qualitätsmanagement-Kenntnisse,5.8,top,
BaumarktverkäuferIn,Führerscheine,2.2,top,
BaumarktverkäuferIn,Branchenkenntnisse,1.1,top,
BaumarktverkäuferIn,EDV-Anwendungskenntnisse,1.0,top,
BaumarktverkäuferIn,Technisches Verständnis,0.9,top,
BaumarktverkäuferIn,Betriebswirtschaftskenntnisse,0.9,top,
BaumarktverkäuferIn,Branchenkenntnisse,,growing,1.2
BaumarktverkäuferIn,Serviceorientierung,,growing,1.1
BaumarktverkäuferIn,KundInnenbetreuungskenntnisse,,growing,1.0
BaumarktverkäuferIn,Berufserfahrung,,growing,0.8
BaumarktverkäuferIn,Einsatzbereitschaft,,growing,0.7
BaumarktverkäuferIn,Bauerrichtungskenntnisse,,growing,0.5
BaumarktverkäuferIn,Teammanagement,,growing,0.3
BaumarktverkäuferIn,Lernbereitschaft,,growing,0.2
BaumarktverkäuferIn,Gutes Auftreten,,growing,0.2
E-Commerce-ManagerIn,E-Business-Kenntnisse,14.4,top,
E-Commerce-ManagerIn,Verkäuferische Kenntnisse,7.1,top,
E-Commerce-ManagerIn,Management-Kenntnisse,6.7,top,
E-Commerce-ManagerIn,KundInnenbetreuungskenntnisse,5.7,top,
E-Commerce-ManagerIn,Projektmanagement-Kenntnisse,4.9,top,
E-Commerce-ManagerIn,EDV-Anwendungskenntnisse,4.7,top,
E-Commerce-ManagerIn,Multimedia-Kenntnisse,4.4,top,
E-Commerce-ManagerIn,Logistik-Kenntnisse,3.8,top,
E-Commerce-ManagerIn,Vertriebskenntnisse,3.5,top,
E-Commerce-ManagerIn,Branchenspezifische Produkt- und Materialkenntnisse,,growing,4.5
E-Commerce-ManagerIn,EDV-Anwendungskenntnisse,,growing,2.4
E-Commerce-ManagerIn,KundInnenbetreuungskenntnisse,,growing,2.2
E-Commerce-ManagerIn,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,,growing,1.2
E-Commerce-ManagerIn,Führerscheine,,growing,1.2
E-Commerce-ManagerIn,Kommunikationsstärke,,growing,1.0
E-Commerce-ManagerIn,IT-Projektmanagement- und Consulting-Kenntnisse,,growing,0.8
E-Commerce-ManagerIn,Branchenkenntnisse,,growing,0.7
E-Commerce-ManagerIn,Teammanagement,,growing,0.7
WebdesignerIn,Softwareentwicklungskenntnisse,15.5,top,
WebdesignerIn,Programmiersprachen-Kenntnisse,10.4,top,
WebdesignerIn,Marketing- und PR-Kenntnisse,8.6,top,
WebdesignerIn,"Grafik-, Web-Design- und Bildbearbeitungssoftware-Kenntnisse",8.0,top,
WebdesignerIn,Grafik-Kenntnisse,7.2,top,
WebdesignerIn,Internet-Entwicklungs- und Administrationskenntnisse,6.5,top,
WebdesignerIn,Betriebssystem-Kenntnisse,3.5,top,
WebdesignerIn,IT-Projektmanagement- und Consulting-Kenntnisse,3.0,top,
WebdesignerIn,Projektmanagement-Kenntnisse,2.8,top,
WebdesignerIn,Programmiersprachen-Kenntnisse,,growing,1.6
WebdesignerIn,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,,growing,1.3
WebdesignerIn,Softwareentwicklungskenntnisse,,growing,1.2
WebdesignerIn,E-Business-Kenntnisse,,growing,0.9
WebdesignerIn,EDV-Anwendungskenntnisse,,growing,0.7
WebdesignerIn,Netzwerktechnik-Kenntnisse,,growing,0.5
WebdesignerIn,Marketing- und PR-Kenntnisse,,growing,0.3
WebdesignerIn,Organisationstalent,,growing,0.1
WebdesignerIn,Lernbereitschaft,,growing,0.1
WebentwicklerIn,Softwareentwicklungskenntnisse,22.3,top,
WebentwicklerIn,Internet-Entwicklungs- und Administrationskenntnisse,10.8,top,
WebentwicklerIn,Betriebssystem-Kenntnisse,9.2,top,
WebentwicklerIn,Datenbankentwicklungs- und -betreuungskenntnisse,5.9,top,
WebentwicklerIn,IT-Projektmanagement- und Consulting-Kenntnisse,4.4,top,
WebentwicklerIn,Qualitätsmanagement-Kenntnisse,3.4,top,
WebentwicklerIn,Multimedia-Kenntnisse,3.0,top,
WebentwicklerIn,EDV-Anwendungskenntnisse,3.0,top,
WebentwicklerIn,Projektmanagement-Kenntnisse,2.4,top,
WebentwicklerIn,Betriebswirtschaftliche Anwendungssoftware-Kenntnisse,,growing,0.7
WebentwicklerIn,Internet-Entwicklungs- und Administrationskenntnisse,,growing,0.4
WebentwicklerIn,Branchenspezifische Produkt- und Materialkenntnisse,,growing,0.4
WebentwicklerIn,Softwareentwicklungskenntnisse,,growing,0.3
WebentwicklerIn,"Grafik-, Web-Design- und Bildbearbeitungssoftware-Kenntnisse",,growing,0.2
WebentwicklerIn,Multimedia-Kenntnisse,,growing,0.1
WebentwicklerIn,Systematische Arbeitsweise,,growing,0.1
WebentwicklerIn,Branchenkenntnisse,,growing,0.1
WebentwicklerIn,Lernbereitschaft,,growing,0.1
BiomedizinischeR AnalytikerIn,Qualitätsmanagement-Kenntnisse,15.2,top,
BiomedizinischeR AnalytikerIn,Wissenschaftliches Fachwissen Naturwissenschaften,12.9,top,
BiomedizinischeR AnalytikerIn,Medizinische Funktionsdiagnostik,10.1,top,
BiomedizinischeR AnalytikerIn,Labormethoden-Kenntnisse,6.0,top,
BiomedizinischeR AnalytikerIn,Teamfähigkeit,5.6,top,
BiomedizinischeR AnalytikerIn,Medizinisch-analytische Labormethoden-Kenntnisse,5.4,top,
BiomedizinischeR AnalytikerIn,EDV-Anwendungskenntnisse,4.1,top,
BiomedizinischeR AnalytikerIn,Kommunikationsstärke,3.6,top,
BiomedizinischeR AnalytikerIn,Krankenpflege und Geburtshilfe,3.2,top,
BiomedizinischeR AnalytikerIn,Krankenpflege und Geburtshilfe,,growing,2.8
BiomedizinischeR AnalytikerIn,Einsatzbereitschaft,,growing,2.4
BiomedizinischeR AnalytikerIn,EDV-Anwendungskenntnisse,,growing,1.9
BiomedizinischeR AnalytikerIn,Organisationstalent,,growing,1.1
BiomedizinischeR AnalytikerIn,Teamfähigkeit,,growing,0.8
BiomedizinischeR AnalytikerIn,Labormethoden-Kenntnisse,,growing,0.8
BiomedizinischeR AnalytikerIn,Hohes Einfühlungsvermögen,,growing,0.5
BiomedizinischeR AnalytikerIn,Berufserfahrung,,growing,0.5
BiomedizinischeR AnalytikerIn,Führerscheine,,growing,0.4
