styria_flag,n,min_p25,min_median,min_p75,max_median,n_with_max,mean_min
Rest of Austria,516.0,43676.0,53553.0,60150.0,65000.0,99.0,52664.0
Styria,53.0,45192.0,53200.0,57400.0,62985.0,10.0,52249.0
