posting_uid,title,title_clean,role_family,normalized_title,role_rule,source
linkedin:4462868478,Data Platform Architect,data platform architect,data_engineering,Data Architect / Data Platform,data platform,linkedin
karriere:7846868,Data Warehouse Developer (m/f/d),data warehouse developer,data_engineering,Data Engineer,data warehouse (?:entwickler|developer|engineer|architect),karriere
linkedin:4433110925,Senior Data Engineer*,senior data engineer*,data_engineering,Data Engineer,data engineer,linkedin
eures:MTczMjQ1MjcgNDM,Junior Data Engineer (w/m/d),junior data engineer,data_engineering,Data Engineer,data engineer,eures
jobsat:7901759,Senior GIS Data Engineer & Architekt (*all humans) (m/w/d),senior gis data engineer & architekt *all humans,data_engineering,Data Engineer,data engineer,jobsat
eures:MTcyOTg0MTQgNDM,Data Architect mit Data Engineering Hands-on skills (w/m/d),data architect mit data engineering hands on skills,data_engineering,Data Engineer,data engineer,eures
jobsat:7899519,Data Engineer (all genders),data engineer,data_engineering,Data Engineer,data engineer,jobsat
linkedin:4430463062,DATENBANKADMINISTRATOR:IN FÜR POSTGRESQL IN LINZ (W/M/X),datenbankadministrator für postgresql,data_engineering,Data Engineer,datenbank(?:entwickler|administrator),linkedin
karriere:10027387,Specialist Data & Vendor Management (m/w/d),specialist data & vendor management,data_governance,Data Governance / Data Steward / Data Manager,data & vendor,karriere
eures:MTczMjkyNDMgNDM,Junior Product Data Specialist (w/m/d),junior product data specialist,data_governance,Master / Product Data Management (operational),product data,eures
linkedin:4447906166,Head of Data Europe,head of data europe,data_governance,Data Governance / Data Steward / Data Manager,(?:head|lead) of data,linkedin
linkedin:4463959450,Legal Expert in Health Innovation & Data Governance (f/m/d),legal expert in health innovation & data governance,data_governance,Data Governance / Data Steward / Data Manager,data governance,linkedin
