posting_uid,title,title_clean,role_family,normalized_title,role_rule,source
karriere:7874392,Business Analyst - Securities Trading*,business analyst securities trading*,business_analysis,Business Analyst,business analy,karriere
linkedin:4459520695,Business Analyst - HR (m/w/d),business analyst hr,business_analysis,Business Analyst,business analy,linkedin
eures:MTczMzg4NjcgNDM,System Analyst - Factory Integration (f/m/div),system analyst factory integration,business_analysis,Business Analyst,system analy,eures
linkedin:4366163299,Versicherungsmathematiker (w/m/d) für die Wirtschaftsprüfung,versicherungsmathematiker für die wirtschaftsprüfung,other_data,Actuary / Mathematician (adjacent),versicherungsmathemat,linkedin
karriere:7864903,Credit & Treasury Analyst (m/w/d),credit & treasury analyst,other_data,Other data / analytics role,analy(?:st|tics|tiker|tik),karriere
karriere:10030271,Data Research (m/w/d),data research,other_data,Other data / analytics role,\bdata\b,karriere
linkedin:4370506125,Professional IT-Consultant - Digitalisierung (all genders) [Graz],professional it consultant digitalisierung,other_data,Other data / analytics role,digital(?:isierung|ization),linkedin
eures:MTczNDk3OTcgNDM,Country Performance Analyst (f/m/d),country performance analyst,other_data,Other data / analytics role,analy(?:st|tics|tiker|tik),eures
karriere:10032216,Consulting Actuary (w/m/d),consulting actuary,other_data,Actuary / Mathematician (adjacent),actuar,karriere
karriere:10027990,Projektmanager:in Energietechnik und Digitalisierung (m/w/d),projektmanager energietechnik und digitalisierung,other_data,Other data / analytics role,digital(?:isierung|ization),karriere
eures:MTczMTAzNzIgNDM,ERP & Data Integration Manager_in,erp & data integration manager,other_data,Other data / analytics role,\bdata\b,eures
willhaben:13268718,IT-Leitung | Innovator:in für Digitalisierung,it leitung innovator für digitalisierung,other_data,Other data / analytics role,digital(?:isierung|ization),willhaben
karriere:7728695,Expertin/Experte Data Architekt (w/m/d),expertin / experte data architekt,other_data,Other data / analytics role,\bdata\b,karriere
eures:MTczMjIyNDcgNDM,Systems Engineer - Database & Systems Operations (m/w/d),systems engineer database & systems operations,other_data,Other data / analytics role,database,eures
