company_norm,postings,families,states,styria,graz_area,is_agency,sources,example_company
software daten service gesellschaft m b h,2,"business_analysis,data_engineering",Wien,0,0,False,"jobsat,karriere",Software Daten Service Gesellschaft m.b.H.
simcorp,2,"data_governance,data_science",Wien,0,0,False,linkedin,SimCorp
bearingpoint,2,"data_engineering,data_governance",Wien,0,0,False,karriere,BearingPoint GmbH
binderholz,2,"data_governance,data_science","Salzburg,Tirol",0,0,False,karriere,Binderholz GmbH
kwizda pharmadistribution,2,business_analysis,"Niederösterreich,Wien",0,0,False,"jobsat,linkedin",Kwizda Pharmadistribution
kpmg,2,"bi,data_science",Wien,0,0,False,"karriere,linkedin",KPMG Österreich
magna,2,"bi,data_engineering",Steiermark,2,2,False,linkedin,Magna International
maco,2,"data_analytics,data_engineering",Salzburg,0,0,False,karriere,MACO-Gruppe
med-el,2,"data_analytics,data_governance",Tirol,0,0,False,linkedin,MED-EL
mayer & co beschläge,2,"data_analytics,data_engineering",Salzburg,0,0,False,eures,Mayer & Co Beschläge
med-el elektromedizinische geräte gesellschaft m b h,2,"data_analytics,data_governance",Tirol,0,0,False,jobsat,Med-El Elektromedizinische Geräte Gesellschaft m.b.H.
deutsche telekom,2,"business_analysis,data_engineering",Wien,0,0,False,linkedin,Deutsche Telekom
detecon,2,"bi,data_science",Wien,0,0,False,linkedin,Detecon
mm,2,"data_analytics,data_engineering",Wien,0,0,False,linkedin,MM Group
mercedes-benz g,2,data_analytics,Steiermark,2,2,False,"jobsat,linkedin",Mercedes-Benz G GmbH
iqvia,2,data_science,Wien,0,0,False,linkedin,IQVIA
it-services der sozialversicherung,2,"data_engineering,data_science","Oberösterreich,Wien",0,0,False,"eures,linkedin",IT-Services der Sozialversicherung
itmatch,2,data_engineering,Wien,0,0,False,linkedin,ITmatch
jobgether,2,"business_analysis,data_analytics",,0,0,False,linkedin,Jobgether
juice,2,data_governance,Niederösterreich,0,0,False,"eures,karriere",AUSTRIA JUICE
ke kelit,2,data_governance,Oberösterreich,0,0,False,"eures,karriere",KE KELIT
dm drogerie markt,2,"data_analytics,data_science",Oberösterreich,0,0,False,linkedin,dm drogerie markt Österreich
doppelmayr official,2,"business_analysis,data_engineering",Vorarlberg,0,0,False,linkedin,Doppelmayr Official
liebherr-mcctec,2,"business_analysis,data_engineering",Vorarlberg,0,0,False,eures,LIEBHERR-MCCtec
