skill_a,skill_b,both,n,share_of_postings,p_b_given_a,p_a_given_b,jaccard,lift
CI/CD,R,3,719,0.004,0.028,0.059,0.019,0.39
Excel,Data Warehouse (generic),3,719,0.004,0.023,0.042,0.015,0.23
Excel,REST APIs,3,719,0.004,0.023,0.036,0.014,0.2
Power BI,AWS,3,719,0.004,0.023,0.048,0.016,0.26
Mathematics,Data Lake/Lakehouse,2,719,0.003,0.026,0.039,0.016,0.37
Mathematics,Microsoft Fabric,2,719,0.003,0.026,0.049,0.017,0.46
Mathematics,Data Warehouse (generic),2,719,0.003,0.026,0.028,0.014,0.26
Docker,Microsoft Fabric,2,719,0.003,0.045,0.049,0.024,0.8
Excel,Oracle,2,719,0.003,0.016,0.049,0.012,0.27
MLOps,Oracle,2,719,0.003,0.043,0.049,0.024,0.76
Machine Learning,Oracle,2,719,0.003,0.017,0.049,0.013,0.3
R,Data Lake/Lakehouse,2,719,0.003,0.039,0.039,0.02,0.55
Data Warehouse (generic),MLOps,2,719,0.003,0.028,0.043,0.017,0.43
Oracle,Microsoft Fabric,2,719,0.003,0.049,0.049,0.025,0.86
Excel,Streaming,2,719,0.003,0.016,0.039,0.011,0.22
Power BI,Java,2,719,0.003,0.015,0.039,0.011,0.21
Excel,Machine Learning,2,719,0.003,0.016,0.017,0.008,0.1
Generative AI / LLM,Oracle,2,719,0.003,0.017,0.049,0.013,0.3
Data Lake/Lakehouse,Oracle,1,719,0.001,0.02,0.024,0.011,0.34
Data Modeling,R,1,719,0.001,0.008,0.02,0.006,0.12
Excel,MLOps,1,719,0.001,0.008,0.022,0.006,0.12
Excel,Spark,1,719,0.001,0.008,0.021,0.006,0.12
Excel,Data Lake/Lakehouse,1,719,0.001,0.008,0.02,0.006,0.11
Power BI,Docker,1,719,0.001,0.008,0.023,0.006,0.12
Excel,Java,1,719,0.001,0.008,0.02,0.006,0.11
Excel,AWS,1,719,0.001,0.008,0.016,0.005,0.09
Mathematics,Oracle,1,719,0.001,0.013,0.024,0.009,0.23
