metric,value
groups_all,10945.0
groups_size>1,1107.0
rows_in_multi_groups,2591.0
core_groups,720.0
core_groups_size>1,186.0
core_rows,1014.0
core_duplicate_rate,0.29
cross_source_groups_core,145.0
