family_before,sample_pos,posting_uid,title,normalized_title_before,manual_label,family_after,normalized_title_after,kept_in_family_after
data_governance,16,karriere:7748777,Data Managerin/Manager Spezialisierung Metadatenmodellierung (w/m/d),Data Governance / Data Steward / Data Manager,TP,data_governance,Data Governance / Data Steward / Data Manager,True
data_governance,17,linkedin:4467983975,"Specialist, Data Management PHC",Data Governance / Data Steward / Data Manager,TP,data_governance,Data Governance / Data Steward / Data Manager,True
data_governance,18,linkedin:4455953682,Consulting Solution Architect - Data Management,Data Governance / Data Steward / Data Manager,TP,data_governance,Data Governance / Data Steward / Data Manager,True
data_governance,19,linkedin:4430932581,ERP Key User Warenwirtschaft & Stammdatenmanagement,Data Governance / Data Steward / Data Manager,borderline,data_governance,Master / Product Data Management (operational),True
data_governance,20,linkedin:4454767438,Datenschutz-Experte mit Weitblick (all genders),Data Governance / Data Steward / Data Manager,FP,out_of_scope,,False
data_governance,21,linkedin:4468215614,"(Senior) Microsoft Purview / Data Protection Consultant / Architect (Austria - Wien, Innsbruck, Vocklamarkt)",Data Governance / Data Steward / Data Manager,FP,out_of_scope,,False
data_governance,22,karriere:7873618,Mitarbeiterin bzw. Mitarbeiter Med.-Pfleg. Datenmanagement,Data Governance / Data Steward / Data Manager,borderline,data_governance,Data Governance / Data Steward / Data Manager,True
data_governance,23,eures:MTcyOTM1MjcgNDM,Product Data Management & Governance Specialist (f/m/d),Data Governance / Data Steward / Data Manager,TP,data_governance,Master / Product Data Management (operational),True
data_governance,24,karriere:7849373,Engineering Data Manager – CAD & PLM (m/w/d),Data Governance / Data Steward / Data Manager,FP,data_governance,Master / Product Data Management (operational),True
data_governance,25,eures:MTczMjQyOTUgNDM,IT-Business Consultant (m/w/x) für Fahrplandatenmanagement,Data Governance / Data Steward / Data Manager,borderline,data_governance,Master / Product Data Management (operational),True
data_science,1,linkedin:4460029161,"Computer Vision Engineer, Data Capture",Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,2,eures:MTczNDU2NDYgNDM,DATA SCIENTIST (M/W/X),Data Scientist,TP,data_science,Data Scientist,True
data_science,3,linkedin:4406208858,Principal Biostatistician (Immunology) - FSP,Statistician / Biostatistician,TP,data_science,Statistician / Biostatistician,True
data_science,4,karriere:7866010,Data Science Student (Supply Chain),Data Scientist,TP,data_science,Data Scientist,True
data_science,5,eures:MTcyMjg3NDEgNDM,Data / Machine Learning Engineer (m/w/d),Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,6,eures:MTczMzYwOTcgNDM,Ingenieur (m/w/d) für Künstliche Intelligenz und Digitalisierung - Teilzeit,Data Scientist,borderline,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",False
data_science,7,linkedin:4458974375,Senior AI Engineer (Smart Solutions) (all genders),Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,8,linkedin:4423214145,Senior Data Scientist (all genders),Data Scientist,TP,data_science,Data Scientist,True
data_science,9,linkedin:4463335095,Data Scientist / AI Engineer (d/m/f),Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,10,eures:MTczMDIxMzAgNDM,Data Scientist Supply Chain Management (m/w/d),Data Scientist,TP,data_science,Data Scientist,True
data_science,11,linkedin:4407613016,(Senior) Consultant im Bereich aktuarielle Beratung (all genders),Statistician / Biostatistician,FP,other_data,Actuary / Mathematician (adjacent),False
data_science,12,linkedin:4457908738,Senior AI Engineer (f/m/x),Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,13,eures:MTczMDE3NTcgNDM,Senior AI-Engineer (all genders),Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,14,eures:MTczMDU3MTIgNDM,ML Engineer - Medical Imaging (f/m/x),Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,15,linkedin:4454191402,Physiker/Mathematiker/Naturwissenschaftler als Berater im Bereich Datenintegration (m/w/d),Statistician / Biostatistician,FP,other_data,Actuary / Mathematician (adjacent),False
data_science,16,linkedin:4457958854,Junior AI Engineer (f/m/x),Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,17,karriere:7840823,Data Scientist (m/f/x),Data Scientist,TP,data_science,Data Scientist,True
data_science,18,willhaben:13262127,IT- und KI-Experte,Data Scientist,borderline,ai_software_engineering,"AI/ML-focused Software, Platform or DevOps Engineer",False
data_science,19,linkedin:4401616810,Machine Learning Engineer (gn*),Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,20,linkedin:4446121419,Data Scientist (Production & Quality focus),Data Scientist,TP,data_science,Data Scientist,True
data_science,21,eures:MTczMjkyNjQgNDM,AI Engineer / Softwareentwickler AI (m/w/x),Machine Learning Engineer,borderline,data_science,Machine Learning / AI Engineer,True
data_science,22,jobsat:7889966,Senior MLOps (m/w/d),Machine Learning Engineer,TP,data_science,Machine Learning / AI Engineer,True
data_science,23,karriere:7869745,Data & AI Solutions Engineer (m/w/d),Data Scientist,borderline,data_science,Data Scientist,True
data_science,24,eures:MTczMDA2MTkgNDM,Full-Stack Data Scientist (f/m/d),Data Scientist,TP,data_science,Data Scientist,True
data_science,25,eures:MTcyMjQ3NjEgNDM,Staff Scientist - Embedded AI (all genders),Data Scientist,FP,out_of_scope,,False
marketing_analytics,1,linkedin:4459881954,Data Analyst | Marketing,Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,2,linkedin:4455880157,"Praktikum Digital Analytics (m/w/d)| Ab September, Bregenz",Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,3,eures:MTcyNzk5NTQgNDM,"Mitarbeiter/in Performance Marketing, Datenanalyse & Technik",Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,4,linkedin:4465048000,Praktikant:in (w/m/d) Customer Insights | AI & Trigger LogicI (ab 30h/Woche) | Dauer: bis zu max. 2 Jahren,Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,5,eures:MTcyNzc4NjggNDM,Consultant Digital Analytics & Operations (m/w/x) ab 25 h/Woche,Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,6,karriere:7847885,Junior Martech Manager*in Landingpage & Content (m/w/d) - 30 Stunden/Woche,Marketing/Growth/CRM Analyst,FP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,7,linkedin:4430367699,"Business & Data Analyst in Sales, Marketing und Distribution Controlling (m/w/d)",Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,8,karriere:7861930,Digital Analytics Engineer (m/w/d),Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,9,eures:MTczMzA0MzcgNDM,Senior Consultant Digital Analytics (m/w/d),Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,10,linkedin:4455880162,"Praktikum Digital Analytics (m/w/d)| Ab September, Wien",Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,11,eures:MTI4MTEtMjI4OTA5Mi1TIDE,"(Junior) Marketing Analyst*in (m/w/d), Hartlauer Zentrale (Betriebswirt/in (Fachschule) - Absatz/Marketing/Bachelor Professional in Wirtschaft)",Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,12,eures:MTczMzY4MDIgNDM,MARKETING ANALYTICS LEAD (m/w),Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,13,linkedin:4435975174,Senior Influencer Marketing Analyst (f/m/d),Marketing/Growth/CRM Analyst,borderline,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,14,linkedin:4455873151,"Senior Consultant Digital Analytics (m/w/d), Bregenz",Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,15,eures:MTczNTE4NjcgNDM,Teamleitung Customer Insights & Data Analytics (w/m/x),Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,16,linkedin:4435970497,Junior Influencer Marketing Analyst (f/m/d),Marketing/Growth/CRM Analyst,borderline,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,17,jobsat:7885690,Data Scientist (Digital Marketing) (m/w/d),Marketing Data Scientist,TP,marketing_analytics,Marketing Data Scientist,True
marketing_analytics,18,linkedin:4455622664,MarTech / CRM Marketing Lead,Marketing/Growth/CRM Analyst,FP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,19,karriere:7869358,(Junior) Marketing Analyst*in (m/w/d),Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,20,eures:MTcxNzcxMTYgNDM,Data Scientist (Marketing) (m/w/d),Marketing Data Scientist,TP,marketing_analytics,Marketing Data Scientist,True
marketing_analytics,21,linkedin:4434632263,(Junior) Marketing Analyst*in (m/w/d),Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,22,linkedin:4455872176,"Senior Consultant Digital Analytics (m/w/d), Wien",Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,23,linkedin:4454778144,Digital Analytics Engineer (m/w/d),Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
marketing_analytics,24,linkedin:4435961803,TRACKING & WEB ANALYTICS | EXPERT,Marketing/Growth/CRM Analyst,TP,marketing_analytics,Marketing/Growth/CRM Analyst,True
product_analytics,1,eures:MTczMzk3OTQgNDM,Labormitarbeiter:in (all genders) - Produktanalytiker:in in der Qualitätskontrolle mit HPLC/UPLC Analytik Erfahrung,Product Analyst,FP,out_of_scope,,False
product_analytics,2,linkedin:4462190932,Product Analyst (all genders),Product Analyst,TP,product_analytics,Product Analyst,True
product_analytics,3,karriere:10030809,Senior Technical Product Owner / Analyst (m/w/d),Product Analyst,FP,other_data,Other data / analytics role,False
