source,count,mean,25%,50%,75%,max
eures,223.0,57.0,16.0,41.0,69.0,925.0
jobsat,65.0,30.0,6.0,19.0,40.0,236.0
karriere,200.0,4.0,1.0,5.0,6.0,13.0
linkedin,486.0,31.0,5.0,14.0,23.0,714.0
willhaben,40.0,92.0,9.0,35.0,71.0,1126.0
