skill,count,n,share,ci_low,ci_high
Full-time,473,719,0.658,0.622,0.692
Home office / remote mention,471,719,0.655,0.62,0.689
Flexible hours,406,719,0.565,0.528,0.6
Internship/Student,62,719,0.086,0.068,0.109
Part-time,58,719,0.081,0.063,0.103
